X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
542611.7353,4923402.1933,249,EG005.00,CA,30,30,4.4,0.56,520,23.5,31,163,44.4626699995608,-68.4643300004632,EG,1803fadb-12ad-4c4b-b591-64be2413c95b
541545.3238,4926331.1867,251,EG007.00,CA,30,30,3.2,0.47,124,13,31,163,44.4890999999818,-68.4774999998772,EG,06213c38-2bb9-4ce0-b54a-5ef1717ec7c0
540378.37,4926404.9234,252,EG007.50,P,30,30,7.5,0.57,420,41.7,31,163,44.4898300002992,-68.4921699994463,EG,0664d5a6-b2fc-4b8b-993e-189041b1ae6b
540905.7975,4926871.4323,254,EG008.50,P,30,30,3.3,0.51,380,15.2,31,163,44.4939999999725,-68.4855000005626,EG,89cdb6fe-f2a9-485c-b45e-7bc14383c3cf
542352.3802,4926824.0454,255,EG009.00,P,30,30,4.4,0.56,740,23.3,31,163,44.4934900003234,-68.4673100001156,EG,e6f608b9-90f8-490b-b61a-68fa7bf354df
543794.5164,4925788.3161,257,EG011.00,P,30,30,3.7,0.56,520,19.5,31,163,44.4840800003385,-68.4492600000405,EG,2aa3823e-955e-42cb-a71c-82eb41d03db0
545521.3692,4923344.1409,261,EG014.00,CA,30,30,2.9,0.34,25,8.1,31,163,44.4619700003841,-68.4277599999266,EG,b905edf5-921f-4907-a148-35876175d540
545666.5491,4920565.8826,263,EG016.00,P,30,30,4.6,0.58,66,25.5,31,163,44.436949999835,-68.42617999974,EG,558de01c-e7f5-4164-a5c6-07aeb74a7963
545547.1704,4920451.7431,264,EG016.50,CA,30,30,4.7,0.58,102,26.2,31,163,44.4359299998057,-68.4276900000238,EG,d13db3ab-067f-4250-b910-32c5118500d8
545091.5114,4918095.8654,265,EG017.00,CA,30,30,2.4,0.32,78,6.3,31,163,44.414749999674,-68.4336200002993,EG,a9ce52f9-74bf-4d0a-96c7-4f473e1324b4
