X,Y,OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID
601880.7676,4929811.208,329,EN001.00,A,30,3.7,0.48,102,15.8,31,163,2018/08/22 00:00:00+00,44.51444,-67.71813,EN,9c34c29f-095e-434a-a686-d575ffb18535
601358.6078,4928426.4432,330,EN001.60,A,30,2.5,0.3,35,6.2,31,163,2018/06/18 00:00:00+00,44.50205,-67.72497,EN,a98a4b26-58da-4d36-ba8d-0c4a8002e22c
602620.7571,4930473.9411,331,EN003.00,A,30,3,0.39,72,9.6,31,163,2018/08/13 00:00:00+00,44.5203,-67.70869,EN,1a411a6c-8536-481d-83e5-f511d8f345a9
603486.7253,4931949.8513,332,EN004.00,A,30,2.8,0.31,20,7.1,31,163,2018/06/18 00:00:00+00,44.53346,-67.6975,EN,aa5928d2-9d69-4e3d-988e-8f4c817407a2
605964.8528,4933400.9182,333,EN006.40,A,30,3.9,0.6,720,23.2,31,163,2018/06/18 00:00:00+00,44.54616,-67.66602,EN,3b1f7188-71d4-4ded-a290-6e9dd5d942ff
606020.181,4933661.8165,334,EN006.50,A,30,3.7,0.43,31,13.6,31,163,2016/12/14 00:00:00+00,44.5485,-67.66527,EN,d122bdb3-f9bb-4094-93c3-6d0c3946ff62
606000.8104,4934992.5833,335,EN006.90,CA,30,2.4,0.35,92,6.8,31,163,2018/03/07 00:00:00+00,44.56048,-67.66524,EN,29e80f82-73a9-4fd3-b6f8-db1e22b16ffc
606862.2779,4935452.2734,336,EN010.00,CA,30,3.3,0.42,29,11.8,31,163,2018/05/02 00:00:00+00,44.56449,-67.6543,EN,5007dbe9-31a2-42ce-b49d-70e46c45c510
607368.4963,4935533.9702,337,EN010.50,CA,30,3.7,0.46,52,14.5,31,163,2018/05/02 00:00:00+00,44.56515,-67.64791,EN,c2b3695d-4051-4c02-9659-f63f5abf5399
606988.7304,4935346.5828,338,EN012.00,A,30,6.3,0.79,1140,65.4,31,163,2019/02/04 00:00:00+00,44.56352,-67.65273,EN,ee9b15d8-59c4-4b1c-bc37-44c4519dacdd
608862.5782,4933832.2309,339,EN013.00,A,30,3,0.34,35,8.5,31,163,2018/06/25 00:00:00+00,44.54961,-67.62946,EN,b31fe494-f3ca-4351-a918-cb196c1b2245
608001.7078,4931373.4275,340,EN016.00,A,30,2.9,0.45,200,11.3,31,163,2018/06/25 00:00:00+00,44.52761,-67.64081,EN,6c832090-5a52-4214-9ffd-4fd55cec277e
608792.9544,4931207.7541,341,EN017.60,A,30,2,0.11,7.3,2.8,31,163,2018/04/09 00:00:00+00,44.526,-67.63089,EN,32c6cb3b-3bff-4007-9973-c0b2e12c3832
609877.7691,4929996.0341,342,EN023.00,R,30,3.9,0.6,220,23.5,31,163,2018/06/25 00:00:00+00,44.51493,-67.6175,EN,e5d6156f-b0a5-4d1d-a9ef-d252f3f053de
609850.4685,4929730.0189,343,EN023.50,A,30,2.7,0.4,100,9.1,31,163,2018/06/25 00:00:00+00,44.51254,-67.6179,EN,5c3370b2-4679-411e-9d4b-93e1b6abc6f0
611385.4674,4927099.5042,344,EN025.00,A,30,3.1,0.5,700,13.8,31,163,2018/06/25 00:00:00+00,44.48863,-67.59916,EN,50352adf-cdae-42c6-91d0-1ddf5f9b6921
611596.1859,4925944.2351,345,EN026.00,A,30,2.9,0.48,100,12.1,31,163,2016/10/17 00:00:00+00,44.4782,-67.59676,EN,d8161fff-ac9d-48dd-afc8-7143aa5859a3
611939.6059,4925080.1421,346,EN027.00,A,30,2.8,0.33,29,7.6,31,163,2018/06/25 00:00:00+00,44.47037,-67.59263,EN,b0fc6862-597d-4f12-a67c-460c33a18c3a
611848.9387,4927667.4621,347,EN032.00,A,30,3.5,0.46,44,13.9,31,163,2018/06/25 00:00:00+00,44.49367,-67.59321,EN,f3c46ffd-8a83-4d4f-b84c-d3386ccda331
611773.6525,4930055.0563,348,EN037.00,P,30,3.2,0.43,54,11.9,31,163,2018/06/25 00:00:00+00,44.51517,-67.59364,EN,2318770d-2050-4336-bcfb-1da1b1b3ab6f
611122.3678,4929321.6579,349,EN039.00,A,30,4.1,0.52,240,19.5,31,163,2018/06/25 00:00:00+00,44.50867,-67.60199,EN,8008f196-c797-4d55-aac9-682f3471222b
610456.9925,4930810.3016,350,EN043.00,A,30,3.4,0.51,300,15.7,31,163,2018/06/25 00:00:00+00,44.52217,-67.61004,EN,0b2a9f83-aae4-41b6-83c1-5eeedbee7e49
610331.581,4931220.3897,351,EN045.50,A,30,2,0.11,8,2.8,31,163,2018/04/09 00:00:00+00,44.52588,-67.61153,EN,20cffa60-5d12-418d-96b9-8a73c1626764
611543.9267,4931579.9986,352,EN047.60,A,30,2.3,0.26,20,5,31,163,2018/04/09 00:00:00+00,44.52893,-67.5962,EN,5ddeb83e-7710-4dc4-8a14-7d0714e164b6
612092.1754,4931820.5562,353,EP001.00,A,30,2.3,0.3,70,5.8,31,163,2018/04/09 00:00:00+00,44.53101,-67.58925,EP,b9e15085-0530-4cc3-998d-c04b30ef9326
613316.2624,4931906.2581,354,EP002.00,A,30,2.1,0.15,8,3.5,31,163,2018/04/09 00:00:00+00,44.53159,-67.57383,EP,e5c0bd91-0532-4b8b-a950-f666f27557e0
614495.2299,4939131.5836,355,EP006.91,A,30,1.9,0,2,1.9,31,163,2018/04/09 00:00:00+00,44.59643,-67.55739,EP,9e18582b-5c8d-493e-b373-beb318b7572b
614289.5005,4941115.7923,356,EP009.00,A,30,2.9,0.41,148,9.9,31,163,2018/04/18 00:00:00+00,44.61432,-67.55954,EP,9ea68f11-9edb-40a1-957f-904b693a7083
614389.0088,4942669.8291,357,EP013.00,A,30,2.5,0.25,15,5.3,31,163,2018/05/14 00:00:00+00,44.62829,-67.55794,EP,45906790-a640-4501-96c3-30aa8f409a37
615056.2216,4943032.7888,358,EP014.10,A,30,2.4,0.19,10,4.3,31,163,2018/10/18 00:00:00+00,44.63145,-67.54945,EP,932e0a50-9dff-4905-bc97-96ab28b25d2a
614596.9596,4943920.2264,359,EP014.50,A,30,2.1,0.12,6,3.1,31,163,2018/04/09 00:00:00+00,44.63951,-67.55504,EP,ddb3d17b-517e-4f23-861d-0ab83f01fa26
613045.6604,4946207.4413,360,EP016.00,P,30,15.5,0.61,160,94.4,31,163,2010/10/26 00:00:00+00,44.66034,-67.57409,EP,26bc0970-a146-401a-b521-4dad222d4db3
615195.2473,4945738.7186,361,EP017.50,A,30,5.1,0.62,440,33.2,31,163,2019/02/26 00:00:00+00,44.65578,-67.54709,EP,910541be-acf1-4c78-8e6f-7a0adb8edf04
615519.2251,4944474.4412,362,EP018.00,A,30,3,0.38,88,9.4,31,163,2018/10/18 00:00:00+00,44.64435,-67.54329,EP,16fdd0b8-8f47-43d7-82b0-a9a33e146928
615476.4285,4943983.6539,363,EP018.50,A,30,3,0.4,78,10.3,31,163,2018/04/09 00:00:00+00,44.63994,-67.54394,EP,3ba35941-931a-4acf-a10c-e8d18f707e51
618450.2364,4944526.3709,364,EP021.00,A,30,5.4,0.55,72,27.4,31,163,2019/01/22 00:00:00+00,44.64434,-67.50633,EP,595674e5-6f2e-444e-99a6-c3ff87ba6d67
618477.5996,4943769.0467,365,EP022.00,A,30,2.5,0.38,86,7.9,31,163,2018/04/18 00:00:00+00,44.63752,-67.50616,EP,66fc4a89-bd31-4a86-8ea4-26abaf3432e6
619337.2565,4941380.2537,366,EP023.00,A,30,2.2,0.24,33,4.6,31,163,2018/02/20 00:00:00+00,44.61588,-67.49588,EP,03e383c4-f4f9-49bb-af8e-9b3a57a688b4
620829.7377,4940765.6824,367,EP025.00,A,30,3,0.41,90,10.1,31,163,2018/02/20 00:00:00+00,44.6101,-67.47722,EP,3e4d2002-64fe-426d-8a5a-94deccaafc4c
621733.8117,4940429.2637,368,EP029.00,A,30,2.4,0.29,42,5.7,31,163,2018/02/20 00:00:00+00,44.60692,-67.46591,EP,fec5d7d1-138b-430a-b236-00ba54142c32
622020.8027,4939437.9245,369,EP029.10,A,30,2.3,0.33,40,6.4,31,163,2018/02/20 00:00:00+00,44.59795,-67.46253,EP,5e59027f-058a-4858-a53b-f98ef63fe2cd
624197.8664,4941419.4934,370,EQ001.00,A,30,2.4,0.31,52,6.1,31,163,2018/04/09 00:00:00+00,44.61541,-67.43463,EQ,73639a58-d63f-4167-a83c-04e0640f4000
622995.2957,4943971.1922,371,EQ002.50,A,30,3,0.53,420,14.9,31,163,2018/04/09 00:00:00+00,44.63858,-67.44917,EQ,591127b4-5807-4ca1-88f6-99ee75f64929
623775.1997,4945379.5409,372,EQ003.00,A,30,2.8,0.47,460,11.5,31,163,2018/04/09 00:00:00+00,44.65112,-67.439,EQ,cf123327-7203-4f6b-85f8-0f9b046ac791
622657.336,4947146.169,373,EQ005.10,A,30,6.9,0.56,152,36.8,31,163,2018/05/02 00:00:00+00,44.66721,-67.45267,EQ,bd4d3c1b-a001-4fb3-b7c7-ca66ccb70496
623355.4161,4946967.2221,374,EQ005.60,A,30,3.5,0.62,1200,22.2,31,163,2018/04/09 00:00:00+00,44.66548,-67.44391,EQ,8f228046-0452-4659-9e99-50e4efd0bc80
624058.9217,4947127.3763,375,EQ006.20,A,30,3.9,0.54,1020,19.6,31,163,2018/05/02 00:00:00+00,44.6668,-67.435,EQ,118fcdf1-d37f-461e-baac-412ea9d9d1ad
624396.0854,4946584.9157,376,EQ006.70,A,30,3.8,0.4,124,12.9,31,163,2018/05/14 00:00:00+00,44.66186,-67.43088,EQ,d8ec0da0-e42f-4e0d-9432-bcc045f549dd
624603.1477,4942918.5387,377,EQ009.00,A,30,2,0.15,8,3.2,31,163,2018/04/09 00:00:00+00,44.62883,-67.42916,EQ,2951929e-4afc-4971-9ced-36419f941dc1
